p_red_cards,rater1,rater2,height,weight,position
0.0064794816414686825,0.25,0.25,183.0,76.0,Defender
0.006622516556291391,0.25,0.25,168.0,67.0,Defender
0.0,0.5,0.5,174.0,68.0,Midfielder
0.03225806451612903,1.0,1.0,185.0,75.0,Defender
0.009708737864077669,0.25,0.5,195.0,90.0,Defender
0.0,0.0,0.0,185.0,72.0,Attacker
0.0,0.75,0.75,194.0,80.0,Defender
0.017241379310344827,0.5,0.5,193.0,85.0,Defender
0.0,0.0,0.0,179.0,79.0,Midfielder
0.006369426751592357,0.0,0.0,184.0,70.0,Midfielder
0.0,0.25,0.25,178.0,74.0,Midfielder
0.007751937984496124,0.0,0.25,176.0,69.0,Defender
0.0016778523489932886,0.0,0.25,183.0,70.0,Attacker
0.0,0.0,0.0,181.0,79.0,Defender
0.00975609756097561,0.0,0.0,170.0,64.0,Midfielder
0.0,0.5,0.75,181.0,73.0,Attacker
0.0,0.0,0.25,187.0,82.0,Defender
0.0,0.0,0.0,176.0,70.0,Defender
0.0,0.25,0.25,179.0,68.0,Midfielder
0.009259259259259259,0.5,0.5,178.0,73.0,Midfielder
0.0,0.5,0.75,180.0,72.0,Defender
0.006437768240343348,0.25,0.25,170.0,72.0,Midfielder
0.0,0.0,0.0,173.0,69.0,Defender
0.005649717514124294,0.25,0.25,194.0,78.0,Attacker
0.0,0.0,0.0,187.0,81.0,Midfielder
0.007352941176470588,0.25,0.25,174.0,69.0,Midfielder
0.0,0.0,0.0,186.0,77.0,Defender
0.002188183807439825,0.0,0.25,183.0,77.0,Midfielder
0.0,0.75,0.75,172.0,82.0,Attacker
0.010282776349614395,0.5,0.5,188.0,77.0,Attacker
0.0,0.0,0.0,180.0,74.0,Midfielder
0.0,0.5,0.5,178.0,76.0,Attacker
0.0,0.25,0.25,186.0,79.0,Attacker
0.01079136690647482,0.0,0.0,188.0,79.0,Defender
0.0,0.25,0.25,167.0,64.0,Midfielder
0.0,0.5,0.5,176.0,72.0,Defender
0.003745318352059925,0.0,0.0,176.0,65.0,Midfielder
0.0,0.75,0.75,183.0,74.0,Defender
0.010638297872340425,0.25,0.5,182.0,75.0,Defender
0.0,0.25,0.25,188.0,79.0,Defender
0.002976190476190476,0.25,0.25,183.0,74.0,Attacker
0.0029411764705882353,0.0,0.25,184.0,78.0,Midfielder
0.0,1.0,1.0,187.0,79.0,Attacker
0.0,0.5,0.25,178.0,75.0,Defender
0.021897810218978103,0.5,0.5,180.0,74.0,Defender
0.011111111111111112,0.25,0.25,188.0,71.0,Defender
0.016018306636155607,0.0,0.0,180.0,74.0,Defender
0.03333333333333333,0.0,0.25,171.0,76.0,Midfielder
0.0,0.0,0.0,178.0,71.0,Midfielder
0.006289308176100629,0.25,0.25,183.0,82.0,Goalkeeper
0.0036101083032490976,0.25,0.25,171.0,66.0,Midfielder
0.005263157894736842,0.0,0.0,181.0,73.0,Goalkeeper
0.008264462809917356,0.75,1.0,188.0,76.0,Midfielder
0.004424778761061947,0.0,0.0,188.0,74.0,Defender
0.0024390243902439024,0.0,0.0,180.0,74.0,Defender
0.0037243947858473,1.0,1.0,180.0,85.0,Attacker
0.0,0.0,0.25,186.0,78.0,Goalkeeper
0.004975124378109453,0.0,0.0,190.0,84.0,Defender
0.0,0.0,0.0,193.0,82.0,Attacker
0.005865102639296188,0.75,0.75,179.0,68.0,Attacker
0.015873015873015872,0.25,0.25,180.0,74.0,Attacker
0.00816326530612245,1.0,1.0,186.0,80.0,Defender
0.0022675736961451248,0.0,0.0,176.0,83.0,Midfielder
0.0,0.75,0.75,175.0,74.0,Attacker
0.016,0.75,0.75,181.0,77.0,Midfielder
0.0,0.5,0.75,178.0,70.0,Defender
0.003484320557491289,0.0,0.0,190.0,83.0,Defender
0.0024271844660194173,0.0,0.0,178.0,76.0,Midfielder
0.0030120481927710845,0.25,0.5,191.0,82.0,Goalkeeper
0.0,0.0,0.25,186.0,82.0,Defender
